1076.650 1046.970 2014-01-01 00:00:00	 1083.500 2014-01-02 00:00:00 6.850
1111.100 1059.780 2014-01-03 00:00:00	 1119.800 2014-01-06 00:00:00 8.700
1103.080 1073.390 2014-01-07 00:00:00	 1116.330 2014-01-08 00:00:00 13.250
1120.980 1085.440 2014-01-09 00:00:00	 1140.450 2014-01-10 00:00:00 19.470
1163.380 1108.160 2014-01-14 00:00:00	 1176.800 2014-01-15 00:00:00 13.420
1175.150 1123.980 2014-01-16 00:00:00	 1106.530 2014-01-17 00:00:00 -68.620
1169.100 1131.940 2014-01-20 00:00:00	 1140.150 2014-01-21 00:00:00 -28.950
1137.030 1140.300 2014-01-22 00:00:00	 1126.230 2014-01-23 00:00:00 -10.800
1124.350 1141.710 2014-01-24 00:00:00	 1114.800 2014-01-27 00:00:00 -9.550
1106.180 1141.820 2014-01-28 00:00:00	 1104.900 2014-01-29 00:00:00 -1.280
1108.800 1138.410 2014-01-30 00:00:00	 1120.530 2014-01-31 00:00:00 11.730
1097.230 1129.130 2014-02-03 00:00:00	 1075.680 2014-02-04 00:00:00 -21.550
1097.200 1116.340 2014-02-05 00:00:00	 1087.630 2014-02-06 00:00:00 -9.570
1072.200 1108.060 2014-02-07 00:00:00	 1046.780 2014-02-10 00:00:00 -25.420
1050.850 1095.240 2014-02-11 00:00:00	 1052.730 2014-02-12 00:00:00 1.880
1066.880 1085.890 2014-02-13 00:00:00	 1083.950 2014-02-14 00:00:00 17.070
1082.700 1082.000 2014-02-17 00:00:00	 1083.000 2014-02-18 00:00:00 0.300
1098.980 1079.740 2014-02-19 00:00:00	 1094.680 2014-02-20 00:00:00 -4.300
1102.850 1078.290 2014-02-21 00:00:00	 1088.950 2014-02-24 00:00:00 -13.900
1094.450 1079.050 2014-02-25 00:00:00	 1091.080 2014-02-26 00:00:00 -3.370
1137.880 1083.980 2014-02-28 00:00:00	 1120.030 2014-03-03 00:00:00 -17.850
1120.330 1094.180 2014-03-04 00:00:00	 1125.950 2014-03-05 00:00:00 5.620
1120.380 1103.230 2014-03-06 00:00:00	 1114.250 2014-03-07 00:00:00 -6.130
1071.330 1104.580 2014-03-10 00:00:00	 1075.830 2014-03-11 00:00:00 4.500
1074.780 1101.990 2014-03-13 00:00:00	 1069.780 2014-03-14 00:00:00 -5.000
1061.000 1097.630 2014-03-18 00:00:00	 1019.700 2014-03-19 00:00:00 -41.300
1054.100 1089.650 2014-03-20 00:00:00	 1063.500 2014-03-21 00:00:00 9.400
1064.130 1080.340 2014-03-22 00:00:00	 1076.300 2014-03-24 00:00:00 12.170
1073.330 1073.440 2014-03-25 00:00:00	 1046.750 2014-03-26 00:00:00 -26.580
1047.130 1063.390 2014-03-27 00:00:00	 1051.050 2014-03-28 00:00:00 3.920
1066.580 1061.280 2014-03-31 00:00:00	 1088.350 2014-04-01 00:00:00 21.770
1086.130 1061.990 2014-04-02 00:00:00	 1083.250 2014-04-03 00:00:00 -2.880
1069.430 1063.550 2014-04-04 00:00:00	 1076.900 2014-04-07 00:00:00 7.470
1070.200 1068.790 2014-04-09 00:00:00	 1063.080 2014-04-10 00:00:00 -7.120
1082.050 1070.040 2014-04-11 00:00:00	 1126.380 2014-04-15 00:00:00 44.330
1098.150 1075.390 2014-04-16 00:00:00	 1111.450 2014-04-17 00:00:00 13.300
1110.880 1084.560 2014-04-21 00:00:00	 1110.530 2014-04-22 00:00:00 -0.350
1106.880 1091.690 2014-04-23 00:00:00	 1102.630 2014-04-25 00:00:00 -4.250
1095.680 1093.390 2014-04-28 00:00:00	 1097.130 2014-04-29 00:00:00 1.450
1094.600 1096.180 2014-04-30 00:00:00	 1104.230 2014-05-02 00:00:00 9.630
1106.850 1100.750 2014-05-05 00:00:00	 1099.450 2014-05-06 00:00:00 -7.400
1082.780 1103.400 2014-05-07 00:00:00	 1081.030 2014-05-08 00:00:00 -1.750
1079.680 1096.590 2014-05-12 00:00:00	 1105.480 2014-05-13 00:00:00 25.800
1108.050 1096.030 2014-05-14 00:00:00	 1096.580 2014-05-15 00:00:00 -11.470
1080.380 1093.710 2014-05-16 00:00:00	 1018.350 2014-05-19 00:00:00 -62.030
1041.430 1079.880 2014-05-21 00:00:00	 1055.980 2014-05-22 00:00:00 14.550
1063.950 1073.370 2014-05-23 00:00:00	 1077.000 2014-05-26 00:00:00 13.050
1065.730 1070.550 2014-05-27 00:00:00	 1075.280 2014-05-28 00:00:00 9.550
1079.980 1070.140 2014-05-29 00:00:00	 1070.680 2014-05-30 00:00:00 -9.300
1064.930 1066.600 2014-06-02 00:00:00	 1064.300 2014-06-03 00:00:00 -0.630
1044.630 1059.770 2014-06-04 00:00:00	 1052.080 2014-06-05 00:00:00 7.450
